id,batch,title,city,citySlug,slug,target_chpu,neighbor_chpu,mid_cta_angle,priority,chpu_note
11,2,Москва за 2 дня: маршрут без очередей и лишней суеты,МСК,moscow,moskva-za-2-dnya,/peshie-ekskursii/moscow/,/rechnye-progulki/moscow/ ; /podborki/na-vyhodnye/moscow,Пешие экскурсии,Высокий,OK
12,2,Речные прогулки по Москве: дневные и вечерние рейсы,МСК,moscow,moskva-rechnye-progulki,/rechnye-progulki/moscow/,/peshie-ekskursii/moscow/ ; /vecherinki-na-teplohode/moscow/,Речные,Высокий,OK
13,2,Стендап в Москве: открытый микрофон или большое шоу,МСК,moscow,moskva-stendap,/stendap-i-yumor/moscow/,/podborki/na-vyhodnye/moscow,Стендап,Высокий,OK
14,2,Выставки и музеи Москвы: как выбрать сеанс,МСК,moscow,moskva-vystavki-muzei,/vystavki-i-muzei/moscow/,/podborki/na-vyhodnye/moscow,Выставки,Высокий,OK
15,2,Необычные театры Москвы: иммерсив и камерные форматы,МСК,moscow,moskva-neobychnye-teatry,/neobychnye-teatry/moscow/,/vystavki-i-muzei/moscow/,Театры,Средний,OK
16,2,Бесплатно в Москве: куда сходить без билета,МСК,moscow,moskva-besplatno,/podborki/besplatno/moscow,/peshie-ekskursii/moscow/,Бесплатно,Средний,intent
17,2,Москва на выходных: короткий список идей,МСК,moscow,moskva-na-vyhodnye,/podborki/na-vyhodnye/moscow,/rechnye-progulki/moscow/ ; /stendap-i-yumor/moscow/,Выходные,Высокий,intent
18,2,Петербург за 3 дня: классика и альтернативные маршруты,СПб,saint-petersburg,spb-za-3-dnya,/peshie-ekskursii/saint-petersburg/,/rechnye-progulki/saint-petersburg/ ; /podborki/na-vyhodnye/saint-petersburg,Пешие,Высокий,OK
19,2,Речные прогулки по Петербургу: Нева каналы и мосты,СПб,saint-petersburg,spb-rechnye-progulki,/rechnye-progulki/saint-petersburg/,/peshie-ekskursii/saint-petersburg/ ; /saint-petersburg/night-bridges,Речные,Высокий,OK
20,2,Экскурсии по крышам Санкт-Петербурга: кому подойдёт формат,СПб,saint-petersburg,spb-kryshi,/progulki-po-krysham/saint-petersburg/,/peshie-ekskursii/saint-petersburg/,Крыши,Высокий,только SPB
21,2,Загородные экскурсии из Петербурга: Петергоф Пушкин и дальше,СПб,saint-petersburg,spb-zagorodnye,/zagorodnye-ekskursii/saint-petersburg/,/peshie-ekskursii/saint-petersburg/,Загородные,Высокий,country-tours только SPB - OK
22,2,Стендап в Петербурге: клубы даты и как выбрать вечер,СПб,saint-petersburg,spb-stendap,/stendap-i-yumor/saint-petersburg/,/podborki/na-vyhodnye/saint-petersburg,Стендап,Высокий,OK
23,2,Выставки и музеи Петербурга: маршрут на один день,СПб,saint-petersburg,spb-vystavki,/vystavki-i-muzei/saint-petersburg/,/podborki/na-vyhodnye/saint-petersburg,Выставки,Средний,OK
24,2,Необычные театры Петербурга: куда пойти вместо классики,СПб,saint-petersburg,spb-neobychnye-teatry,/neobychnye-teatry/saint-petersburg/,/vystavki-i-muzei/saint-petersburg/,Театры,Средний,OK
25,2,Петербург на выходных: план суббота-воскресенье,СПб,saint-petersburg,spb-na-vyhodnye,/podborki/na-vyhodnye/saint-petersburg,/rechnye-progulki/saint-petersburg/ ; /stendap-i-yumor/saint-petersburg/,Выходные,Высокий,intent
26,2,Разводные мосты Петербурга: как увидеть с воды,СПб,saint-petersburg,spb-razvodnye-mosty,/saint-petersburg/night-bridges,/rechnye-progulki/saint-petersburg/,Мосты,Средний,city-scoped
27,2,Дворы Петербурга: пешие маршруты по парадным и дворам,СПб,saint-petersburg,spb-dvory,/saint-petersburg/spb-yards,/peshie-ekskursii/saint-petersburg/,Дворы,Средний,city-scoped
28,2,Автобусные экскурсии по Москве: когда это удобнее пешком,МСК,moscow,moskva-avtobusnye,/avtobusnye-ekskursii/moscow/,/peshie-ekskursii/moscow/,Автобус,Средний,OK
29,2,Автобусные экскурсии по Петербургу для первого визита,СПб,saint-petersburg,spb-avtobusnye,/avtobusnye-ekskursii/saint-petersburg/,/peshie-ekskursii/saint-petersburg/,Автобус,Средний,OK
30,2,Вечеринки на теплоходе в Москве: формат и как выбрать рейс,МСК,moscow,moskva-vecherinki-teplohod,/vecherinki-na-teplohode/moscow/,/rechnye-progulki/moscow/,Вечеринки,Средний,OK
